FSA,population
M1B,65555
M1C,35642
M1E,48033
M1G,30894
M1H,23964
M1J,37002
M1K,48175
M1L,35833
M1M,23258
M1N,22976
M1P,45170
M1R,30467
M1S,37663
M1T,34607
M1V,50825
M1W,47070
M1X,14810
M2H,23396
M2J,61761
M2K,25377
M2L,11274
M2M,31915
M2N,75100
M2P,7546
M2R,40581
M3A,34361
M3B,12880
M3C,39616
M3H,38416
M3J,26600
M3K,7865
M3L,19263
M3M,24906
M3N,40846
M4A,14589
M4B,18612
M4C,46440
M4E,25473
M4G,19598
M4H,18698
M4J,35128
M4K,30913
M4L,32218
M4M,25052
M4N,16058
M4P,25057
M4R,11909
M4S,30754
M4T,10332
M4V,19273
M4W,15296
M4X,19896
M4Y,36319
M5A,48978
M5B,17422
M5C,3149
M5E,11779
M5G,9751
M5H,3248
M5J,16879
M5M,25495
M5N,16154
M5P,19791
M5R,26197
M5S,17074
M5T,17903
M5V,59912
M6A,22380
M6B,28534
M6C,23997
M6E,37684
M6G,30600
M6H,43730
M6J,32111
M6K,42110
M6L,20156
M6M,42148
M6N,40252
M6P,39870
M6R,19349
M6S,34029
M7A,5
M8V,44144
M8W,22381
M8X,10624
M8Y,21986
M8Z,19312
M9A,36642
M9B,33236
M9C,38725
M9L,11737
M9M,24245
M9N,26059
M9P,20645
M9R,33783
M9V,53878
M9W,40977
